Name,AvgCountLine,AvgCountLineBlank,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,MaxCyclomatic,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,CountPathMin,"CountPathMean-divided-by-1,000","CountPathMax-divided-by-1,000,000",MaxNestingMin,MaxNestingMean,MaxNestingMax,Bugs
AbstractFileMergeOperator.java,18.0,1.0,4.0,3.0,3.0,1.0,2.0,17.0,2.0,1.0,1.0,0.0,2.0,4.0,9.0,2.0,81.0,0.32,1.0,5.4,13.0,1.0,7.2,27.0,1.0,0.0,0.0,0.0,1.4,5.0,0.0
AbstractFilterStringColLikeStringScalar.java,12.0,1.0,1.0,3.0,3.0,1.0,1.75,6.125,0.25,10.0,0.0,9.0,1.0,1.0,24.0,1.125,19.0,0.3,0.0,4.090909090909091,19.0,1.0,2.5454545454545454,12.0,0.0,0.0,0.0,0.0,0.6818181818181818,5.0,0.0
AbstractGenericUDAFResolver.java,9.0,1.0,0.0,2.0,2.0,1.0,2.0,6.0,31.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.17,1.0,1.0,1.0,2.0,3.5,5.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0
AbstractGenericUDFEWAHBitmapBop.java,15.0,1.0,0.0,2.0,2.0,1.0,1.0,22.0,2.0,1.0,0.0,1.0,0.0,3.0,4.0,2.0,67.0,0.2,1.0,3.1666666666666665,5.0,1.0,5.333333333333333,10.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0
AbstractGenericUDFReflect.java,15.0,0.0,1.0,3.0,3.0,2.0,1.0,14.0,2.0,1.0,0.0,3.0,0.0,1.0,6.0,2.0,50.0,0.37,1.0,6.0,11.0,1.0,5.2,10.0,0.0,0.0,0.0,0.0,1.2,3.0,0.0
AbstractHBaseKeyFactory.java,5.0,0.0,0.0,1.0,1.0,1.0,2.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,67.0,0.61,2.0,2.6666666666666665,3.0,2.0,2.6666666666666665,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractHBaseKeyPredicateDecomposer.java,16.0,2.0,3.0,2.0,2.0,2.0,1.0,13.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.84,1.0,2.333333333333333,5.0,1.0,5.333333333333333,14.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,0.0
AbstractHCatLoaderTest.java,22.0,1.0,1.0,2.0,2.0,1.0,1.0,35.5,3.0,2.0,8.0,5.0,7.0,0.0,5.0,1.5,44.0,0.13,0.0,5.222222222222222,11.0,1.0,7.407407407407407,22.0,0.0,0.0,0.0,0.0,0.8888888888888888,4.0,0.0
AbstractHCatStorerTest.java,29.0,2.0,2.0,3.0,3.0,1.0,1.0,22.0,3.5,2.0,1.0,6.0,0.0,0.0,11.0,2.0,34.0,0.12,0.0,6.411764705882353,20.0,1.0,8.735294117647058,24.0,0.0,0.0,0.0,0.0,0.7647058823529411,2.0,0.0
AbstractHiveAuthorizer.java,8.0,0.0,4.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.29,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
