Name,AvgCountLine,AvgCountLineBlank,AvgCountLineComment,AvgCyclomatic,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclMethodDefault,CountDeclMethodPrivate,MaxCyclomatic,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,"CountPathMin-divided-by-1,000","CountPathMean-divided-by-1,000,000","CountPathMax-divided-by-1,000,000",MaxNestingMin,MaxNestingMean,MaxNestingMax,Bugs
VectorMapJoinInnerBigOnlyLongOperator.java,79.0,15.0,19.0,10.0,2.0,1.0,23.0,0.0,1.0,0.0,0.0,0.0,38.0,8.0,75.0,0.57,37.0,37.0,37.0,32.0,32.0,32.0,186.0,0.0,0.0,6.0,6.0,6.0,1.0
VectorMapJoinInnerBigOnlyMultiKeyOperator.java,79.0,15.0,19.0,10.0,3.0,1.0,25.0,0.0,1.0,0.0,0.0,0.0,37.0,8.0,75.0,0.57,35.0,35.0,35.0,38.0,38.0,38.0,174.0,0.0,0.0,6.0,6.0,6.0,1.0
VectorMapJoinInnerBigOnlyStringOperator.java,76.0,15.0,19.0,9.0,2.0,1.0,23.0,0.0,1.0,0.0,0.0,0.0,34.0,8.0,75.0,0.6,36.0,36.0,36.0,27.0,27.0,27.0,43.0,0.0,0.0,6.0,6.0,6.0,1.0
VectorMapJoinInnerLongOperator.java,78.0,15.0,18.0,10.0,2.0,1.0,22.0,0.0,1.0,0.0,0.0,0.0,38.0,8.0,75.0,0.53,38.0,38.0,38.0,37.0,37.0,37.0,186.0,0.0,0.0,6.0,6.0,6.0,1.0
VectorMapJoinInnerMultiKeyOperator.java,79.0,15.0,18.0,10.0,3.0,1.0,24.0,0.0,1.0,0.0,0.0,0.0,37.0,8.0,75.0,0.54,36.0,36.0,36.0,43.0,43.0,43.0,174.0,0.0,0.0,6.0,6.0,6.0,1.0
VectorMapJoinInnerStringOperator.java,75.0,15.0,18.0,9.0,2.0,1.0,22.0,0.0,1.0,0.0,0.0,0.0,34.0,8.0,75.0,0.56,37.0,37.0,37.0,32.0,32.0,32.0,43.0,0.0,0.0,6.0,6.0,6.0,1.0
VectorMapJoinLeftSemiLongOperator.java,76.0,15.0,19.0,10.0,2.0,1.0,23.0,0.0,1.0,0.0,0.0,0.0,38.0,8.0,75.0,0.6,34.0,34.0,34.0,27.0,27.0,27.0,186.0,0.0,0.0,6.0,6.0,6.0,1.0
VectorMapJoinLeftSemiMultiKeyOperator.java,78.0,15.0,20.0,10.0,3.0,1.0,25.0,0.0,1.0,0.0,0.0,0.0,37.0,8.0,75.0,0.62,32.0,32.0,32.0,33.0,33.0,33.0,174.0,0.0,0.0,6.0,6.0,6.0,1.0
VectorMapJoinLeftSemiStringOperator.java,73.0,15.0,19.0,9.0,2.0,1.0,23.0,0.0,1.0,0.0,0.0,0.0,34.0,8.0,75.0,0.63,33.0,33.0,33.0,22.0,22.0,22.0,43.0,0.0,0.0,6.0,6.0,6.0,1.0
VectorMapJoinOuterGenerateResultOperator.java,44.0,7.0,14.0,5.0,1.0,1.0,16.0,3.0,1.0,0.0,0.0,5.0,17.0,7.0,83.0,0.81,5.0,9.909090909090908,26.0,1.0,5.636363636363637,15.0,0.0,0.0,0.0,1.0,2.1818181818181817,4.0,1.0
VectorMapJoinOuterLongOperator.java,93.0,17.0,24.0,12.0,2.0,1.0,23.0,0.0,1.0,0.0,0.0,0.0,43.0,8.0,75.0,0.58,40.0,40.0,40.0,38.0,38.0,38.0,601.0,1.0,1.0,7.0,7.0,7.0,1.0
VectorMapJoinOuterMultiKeyOperator.java,96.0,18.0,24.0,12.0,3.0,1.0,25.0,0.0,1.0,0.0,0.0,0.0,44.0,8.0,75.0,0.56,39.0,39.0,39.0,44.0,44.0,44.0,1363.0,1.0,1.0,7.0,7.0,7.0,1.0
VectorMapJoinOuterStringOperator.java,91.0,17.0,23.0,11.0,2.0,1.0,23.0,0.0,1.0,0.0,0.0,0.0,40.0,8.0,75.0,0.59,39.0,39.0,39.0,33.0,33.0,33.0,227.0,0.0,0.0,7.0,7.0,7.0,1.0
ExecDriver.java,27.0,3.0,3.0,4.0,1.0,1.6666666666666667,59.66666666666666,0.3333333333333333,1.0,5.0,0.0,4.0,42.0,2.0,65.66666666666667,0.18,0.0,5.8,40.0,1.0,10.62,115.0,0.0,3.0,133.0,0.0,0.56,5.0,1.0
TxnHandler.java,31.0,1.0,7.0,5.0,2.0,1.1538461538461535,20.153846153846157,0.1538461538461538,8.0,10.0,11.0,24.0,32.0,1.1538461538461535,17.692307692307693,0.31,1.0,8.74,83.0,1.0,11.293333333333331,35.0,0.0,0.0,7.0,0.0,1.34,5.0,1.0
Driver.java,29.0,2.0,4.0,5.0,2.0,1.4827586206896552,17.275862068965516,0.0517241379310344,4.0,6.0,0.0,26.0,39.0,1.3793103448275863,22.13793103448276,0.2,0.0,5.214736842105263,195.0,0.0,8.136842105263158,115.0,0.0,3.0,1000.0,0.0,0.8357894736842105,8.0,1.0
MegaStruct.java,17.0,1.0,0.0,4.0,2.0,2.2,18.2,0.0,6.0,3.0,1.0,2.0,62.0,1.4,18.4,0.04,0.0,4.515723270440252,43.0,0.0,4.163522012578617,68.0,-2080375.0,-15.0,1000.0,0.0,0.3584905660377358,5.0,0.0
Table.java,15.0,1.0,1.0,4.0,2.0,1.644927536231884,13.297101449275363,0.1594202898550724,6.0,3.0,1.0,2.0,44.0,1.4855072463768115,30.74275362318841,0.05,0.0,4.352044704089408,188.0,0.0,4.888747777495555,112.0,0.0,0.0,1000.0,0.0,0.5214630429260858,8.0,1.0
Task.java,14.0,0.0,1.0,4.0,2.0,1.5,19.25925925925926,0.2962962962962963,6.0,3.0,1.0,2.0,26.0,1.4259259259259258,29.376543209876544,0.06,0.0,4.708815028901734,121.0,0.0,7.114161849710983,112.0,0.0,1.0,1000.0,0.0,0.8504335260115607,7.0,1.0
VectorizationContext.java,22.0,1.0,2.0,5.0,3.0,1.1666666666666667,63.333333333333336,0.1666666666666666,5.0,19.0,5.0,45.0,23.0,1.1666666666666667,24.666666666666668,0.12,0.0,5.384615384615385,38.0,1.0,8.276923076923078,42.0,0.0,0.0,0.0,0.0,0.823076923076923,6.0,1.0
