key,filename
HIVE-28143,hplsql/src/test/queries/local/trim.sql
HIVE-28143,hplsql/src/test/results/local/add.out.txt
HIVE-28143,hplsql/src/test/results/local/cast.out.txt
HIVE-28143,hplsql/src/test/results/local/cast2.out.txt
HIVE-28143,hplsql/src/test/results/local/coalesce.out.txt
HIVE-28143,hplsql/src/test/results/local/date.out.txt
HIVE-28143,hplsql/src/test/results/local/expr.out.txt
HIVE-28143,hplsql/src/test/results/local/instr.out.txt
HIVE-28143,hplsql/src/test/results/local/interval.out.txt
HIVE-28143,hplsql/src/test/results/local/length.out.txt
HIVE-28143,hplsql/src/test/results/local/lower.out.txt
HIVE-28143,hplsql/src/test/results/local/nvl.out.txt
HIVE-28143,hplsql/src/test/results/local/replace.out.txt
HIVE-28143,hplsql/src/test/results/local/sub.out.txt
HIVE-28143,hplsql/src/test/results/local/timestamp.out.txt
HIVE-28143,hplsql/src/test/results/local/timestamp_iso.out.txt
HIVE-28143,hplsql/src/test/results/local/to_char.out.txt
HIVE-28143,hplsql/src/test/results/local/to_timestamp.out.txt
HIVE-28143,hplsql/src/test/results/local/trim.out.txt
HIVE-28143,hplsql/src/test/results/offline/create_table_td.out.txt
HIVE-28143,hplsql/src/test/results/offline/select.out.txt
HIVE-28143,hplsql/src/test/results/offline/select_db2.out.txt
HIVE-28143,hplsql/src/test/results/offline/select_teradata.out.txt
HIVE-28143,hplsql/src/test/results/offline/update.out.txt
HIVE-28143,itests/hive-unit/src/test/java/org/apache/hive/beeline/TestHplSqlViaBeeLine.java
HIVE-28347,ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDAFMkCollectionEvaluator.java
HIVE-28347,ql/src/test/queries/clientpositive/udaf_collect_set_2.q
HIVE-28347,ql/src/test/results/clientpositive/llap/udaf_collect_set_2.q.out
HIVE-28353,iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/mapreduce/IcebergInternalRecordWrapper.java
HIVE-28353,iceberg/iceberg-handler/src/test/queries/positive/iceberg_metadata_table.q
HIVE-28353,iceberg/iceberg-handler/src/test/results/positive/iceberg_metadata_table.q.out
HIVE-26018,ql/src/java/org/apache/hadoop/hive/ql/exec/CommonJoinOperator.java
HIVE-26018,ql/src/test/queries/clientpositive/uniquejoin2.q
HIVE-26018,ql/src/test/results/clientpositive/llap/uniquejoin2.q.out
HIVE-28330,ql/src/java/org/apache/hadoop/hive/ql/udf/UDFHex.java
HIVE-28330,ql/src/test/results/clientpositive/llap/udf_hex.q.out
HIVE-28285,jdbc-handler/src/main/java/org/apache/hive/storage/jdbc/dao/GenericJdbcDatabaseAccessor.java
HIVE-28285,jdbc-handler/src/main/java/org/apache/hive/storage/jdbc/dao/JdbcRecordIterator.java
HIVE-28285,ql/src/test/queries/clientpositive/external_jdbc_table_typeconversion.q
HIVE-28285,ql/src/test/results/clientpositive/llap/external_jdbc_table_typeconversion.q.out
HIVE-28202,itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/txn/compactor/TestCrudCompactorOnTez.java
HIVE-28202,ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcInputFormat.java
HIVE-28202,ql/src/test/org/apache/hadoop/hive/ql/io/orc/TestInputOutputFormat.java
HIVE-28202,ql/src/test/resources/bucket_00952_0
