Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,CountPathMin,CountPathMean,CountPathMax,MaxNestingMin,MaxNestingMean,MaxNestingMax,Bugs
File,AbortTxnsRequest.java,8.0,0.0,7.0,0.0,2.0,2.0,2.0,1.0,2.2,11.4,0.0,6.0,3.0,5.0,39.0,38.0,4.0,41.0,1.0,2.0,0.0,38.0,438.0,67.0,346.0,110.0,164.0,28.0,154.0,236.0,101.0,149.0,6.0,6.0,9.0,1.4,8.8,0.08,75.0,75.0,80.0,51.0,0.0,2.3714285714285714,7.0,1.0,2.857142857142857,12.0,1.0,2.057142857142857,9.0,0.0,0.7428571428571429,4.0,0.0
File,AbstractBucketJoinProc.java,38.0,3.0,32.0,3.0,7.0,7.0,7.0,3.0,2.0,40.0,2.0,1.0,2.0,0.0,12.0,10.0,1.0,12.0,0.0,4.0,3.0,5.0,515.0,52.0,395.0,155.0,236.0,69.0,193.0,282.0,137.0,205.0,26.0,26.0,29.0,1.0,73.0,0.17,75.0,75.0,82.0,38.0,0.0,4.4,10.0,1.0,13.4,49.0,0.0,106.5,834.0,0.0,3.1,6.0,0.0
File,AbstractCliConfig.java,7.0,0.0,7.0,0.0,2.0,2.0,2.0,1.0,1.4,9.6,4.6,6.0,1.0,2.0,40.0,41.0,20.0,42.0,0.0,4.0,13.0,25.0,438.0,63.0,347.0,118.0,172.0,28.0,154.0,246.0,116.0,153.0,8.0,8.0,11.0,1.4,18.6,0.08,82.0,82.0,92.0,45.0,1.0,8.314285714285715,23.0,1.0,3.8,15.0,1.0,2.771428571428572,14.0,0.0,0.8,4.0,0.0
File,AbstractCommandHandler.java,7.0,0.0,7.0,0.0,2.0,2.0,2.0,2.0,2.0,10.0,1.0,1.0,0.0,0.0,8.0,8.0,6.0,8.0,0.0,0.0,0.0,8.0,110.0,18.0,67.0,30.0,26.0,25.0,31.0,46.0,24.0,24.0,5.0,5.0,7.0,1.0,73.0,0.37,13.0,13.0,16.0,12.0,1.0,1.5714285714285714,4.0,1.0,1.4285714285714286,4.0,1.0,1.5714285714285714,5.0,0.0,0.2857142857142857,2.0,0.0
File,AbstractCorrelationProcCtx.java,5.0,0.0,5.0,0.0,2.0,2.0,2.0,1.0,2.0,13.0,2.0,1.0,0.0,1.0,8.0,8.0,5.0,8.0,0.0,0.0,0.0,8.0,99.0,14.0,63.0,28.0,23.0,23.0,35.0,49.0,29.0,22.0,5.0,5.0,5.0,1.0,70.0,0.37,12.0,12.0,12.0,8.0,1.0,4.857142857142857,8.0,1.0,1.2857142857142858,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
File,AbstractDeserializer.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,8.0,2.0,1.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,68.0,8.0,11.0,10.0,0.0,49.0,9.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0,50.0,4.45,0.0,0.0,0.0,0.0,0.0,0.5,3.0,0.0,0.5,1.0,0.0,0.1666666666666666,1.0,0.0,0.0,0.0,0.0
File,AbstractEncodingAwareSerDe.java,8.0,0.0,8.0,0.0,2.0,2.0,2.0,1.0,1.0,13.0,2.0,1.0,0.0,1.0,7.0,7.0,1.0,7.0,0.0,0.0,4.0,3.0,87.0,12.0,43.0,27.0,11.0,32.0,23.0,30.0,21.0,11.0,2.0,2.0,3.0,2.0,0.0,0.74,6.0,6.0,7.0,3.0,1.0,3.857142857142857,10.0,1.0,2.4285714285714284,5.0,0.0,0.8571428571428571,2.0,0.0,0.4285714285714285,1.0,0.0
File,AbstractExpression.java,8.0,0.0,8.0,0.0,2.0,2.0,2.0,1.0,1.0,15.0,34.0,1.0,0.0,1.0,12.0,12.0,2.0,12.0,0.0,0.0,10.0,2.0,150.0,16.0,121.0,59.0,56.0,13.0,82.0,105.0,58.0,63.0,3.0,3.0,3.0,1.0,91.0,0.11,22.0,22.0,22.0,11.0,0.0,8.333333333333334,38.0,0.0,4.083333333333333,7.0,0.0,1.8333333333333333,3.0,0.0,0.9166666666666666,2.0,0.0
File,AbstractFileMergeOperator.java,18.0,1.0,14.0,4.0,3.0,3.0,3.0,1.0,2.0,18.0,2.0,1.0,1.0,2.0,12.0,11.0,16.0,12.0,0.0,2.0,4.0,6.0,293.0,23.0,204.0,69.0,118.0,66.0,107.0,142.0,61.0,94.0,9.0,9.0,10.0,2.0,81.0,0.32,33.0,33.0,36.0,12.0,1.0,5.4,13.0,1.0,7.9,29.0,1.0,3.9,15.0,0.0,1.4,5.0,1.0
File,AbstractFilterStringColLikeStringScalar.java,13.0,1.0,11.0,1.0,3.0,3.0,3.0,2.0,1.75,6.25,0.25,10.0,0.0,1.0,30.0,30.0,21.0,30.0,9.0,1.0,1.0,19.0,533.0,65.0,365.0,115.0,202.0,105.0,184.0,271.0,120.0,160.0,24.0,24.0,24.0,1.125,19.5,0.29,76.0,76.0,80.0,42.0,0.0,4.285714285714286,19.0,1.0,2.8095238095238093,15.0,0.0,6.857142857142857,108.0,0.0,0.8095238095238095,5.0,0.0
