Name,AvgCountLine,AvgCountLineBlank,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclMethodDefault,CountDeclMethodPrivate,MaxCyclomatic,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,"CountPathMin-divided-by-1,000","CountPathMean-divided-by-1,000,000","CountPathMax-divided-by-1,000,000",MaxNestingMin,MaxNestingMean,MaxNestingMax,Bugs
PrintCompletedTasksHook.java,11.0,0.0,0.0,4.0,4.0,1.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,1.38,2.0,2.0,2.0,7.0,7.0,7.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0
PrintOpTreeProcessor.java,10.0,0.0,0.0,3.0,3.0,1.0,2.0,13.0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,53.0,0.33,3.0,3.333333333333333,4.0,7.0,8.0,10.0,0.0,0.0,0.0,1.0,2.333333333333333,3.0,0.0
PrintSummary.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Printer.java,3.0,0.0,0.0,1.0,1.0,1.0,1.7142857142857142,15.571428571428571,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.94,2.0,3.8461538461538463,7.0,1.0,9.846153846153848,34.0,0.0,0.0,0.0,0.0,2.076923076923077,6.0,0.0
PriorityBlockingDeque.java,12.0,0.0,4.0,2.0,2.0,1.0,3.0,16.0,0.0,1.0,0.0,0.0,3.0,5.0,1.0,81.0,0.63,0.0,2.673469387755102,11.0,1.0,3.938775510204082,11.0,0.0,0.0,0.0,0.0,1.0612244897959184,3.0,0.0
Privilege.java,4.0,0.0,0.0,1.0,1.0,1.0,1.71875,10.015625,0.03125,1.0,0.0,0.0,1.0,3.0,1.359375,36.109375,0.29,0.0,3.3846153846153846,23.0,0.0,3.42948717948718,74.0,0.0,0.0,0.0,0.0,0.5202991452991453,11.0,0.0
PrivilegeBag.java,8.0,0.0,0.0,2.0,2.0,1.0,2.2,11.4,0.0,6.0,3.0,1.0,2.0,6.0,1.4,8.8,0.08,0.0,3.1944444444444446,14.0,0.0,3.8333333333333335,32.0,0.0,0.0,0.0,0.0,0.8333333333333334,4.0,0.0
PrivilegeGrantInfo.java,11.0,0.0,1.0,3.0,3.0,2.0,2.0,11.75,0.0,6.0,3.0,1.0,2.0,17.0,1.625,30.5,0.08,0.0,2.910344827586207,18.0,0.0,3.213793103448276,20.0,0.0,0.0,0.0,0.0,0.3724137931034483,3.0,0.0
PrivilegeType.java,6.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,3.0,0.0,0.0,0.44,2.0,3.2857142857142856,5.0,1.0,3.571428571428572,6.0,0.0,0.0,0.0,0.0,0.7142857142857143,1.0,0.0
ProcessAnalyzeTable.java,47.0,7.0,9.0,4.0,4.0,2.0,2.0,36.5,0.0,1.0,0.0,0.0,1.0,9.0,1.0,33.0,0.4,7.0,7.5,8.0,22.0,31.5,41.0,0.0,0.0,0.0,0.0,1.5,3.0,0.0
ProgressMonitor.java,4.0,0.0,0.0,1.0,1.0,1.0,1.625,8.125,0.0,2.0,0.0,6.0,0.0,1.0,1.0,27.375,0.46,0.0,2.6666666666666665,12.0,1.0,2.888888888888889,21.0,0.0,0.0,0.0,0.0,0.3333333333333333,3.0,0.0
ProgressMonitorStatusMapper.java,4.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.91,1.0,3.0,7.0,1.0,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0
ProjectionPusher.java,32.0,3.0,4.0,6.0,6.0,2.0,1.0,33.0,0.0,1.0,0.0,0.0,3.0,15.0,1.0,50.0,0.23,4.0,5.75,7.0,5.0,13.5,28.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0
PropValueUnion.java,11.0,0.0,0.0,3.0,2.0,2.0,1.0,40.0,0.0,2.0,10.0,1.0,2.0,18.0,2.0,0.0,0.04,0.0,3.63265306122449,22.0,0.0,3.489795918367347,16.0,0.0,0.0,0.0,0.0,0.6530612244897959,4.0,0.0
ProxyAuthTest.java,23.0,2.0,3.0,3.0,3.0,1.0,1.0,26.0,0.0,1.0,13.0,0.0,12.0,6.0,1.0,83.0,0.28,2.0,4.076923076923077,9.0,1.0,6.923076923076923,23.0,0.0,0.0,0.0,0.0,0.8461538461538461,2.0,0.0
ProxyFileSystem.java,6.0,0.0,0.0,1.0,1.0,1.0,1.0,12.0,0.3333333333333333,1.0,0.0,0.0,1.0,2.0,2.333333333333333,31.33333333333333,0.18,0.0,2.975609756097561,29.0,1.0,3.1463414634146343,13.0,0.0,0.0,0.0,0.0,0.0975609756097561,2.0,0.0
ProxyLocalFileSystem.java,5.0,0.0,1.0,2.0,2.0,1.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,25.0,2.1,1.0,3.0,6.0,1.0,4.666666666666667,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0
ProxyLocalFileSystem.java,9.0,1.0,2.0,2.0,2.0,1.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,25.0,0.89,1.0,3.0,6.0,1.0,4.666666666666667,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0
ProxyUserAuthenticator.java,29.0,5.0,1.0,5.0,5.0,1.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.81,3.0,3.0,3.0,11.0,11.0,11.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
ProxyUserSupport.java,27.0,0.0,4.0,5.0,5.0,2.0,1.0,22.0,0.0,1.0,7.0,2.0,5.0,16.0,1.0,0.0,0.28,3.0,6.142857142857143,10.0,2.0,7.285714285714286,19.0,0.0,0.0,0.0,0.0,1.7142857142857142,5.0,0.0
PrunedPartitionList.java,5.0,0.0,2.0,1.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,63.0,0.97,2.0,6.142857142857143,15.0,1.0,1.1428571428571428,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrunerExpressionOperatorFactory.java,18.0,2.0,4.0,3.0,3.0,1.0,1.8,7.2,0.8,5.0,3.0,0.0,0.0,9.0,1.0,0.0,0.64,1.0,1.75,2.0,1.0,3.375,10.0,0.0,0.0,0.0,0.0,0.75,3.0,0.0
PrunerOperatorFactory.java,24.0,2.0,8.0,2.0,2.0,1.0,1.6666666666666667,8.0,2.6666666666666665,3.0,1.0,0.0,0.0,4.0,1.0,0.0,0.92,0.0,2.5,5.0,0.0,2.833333333333333,7.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,0.0
PrunerUtils.java,23.0,2.0,11.0,1.0,1.0,1.0,1.0,18.5,0.0,1.0,2.0,0.0,1.0,1.0,1.0,48.0,0.91,3.0,5.4375,8.0,1.0,5.5625,12.0,0.0,0.0,0.0,0.0,0.8125,2.0,0.0
PushdownTuple.java,11.0,0.0,1.0,2.0,2.0,2.0,1.0,23.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,53.0,0.35,3.0,3.4,5.0,1.0,8.0,26.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0
PutFileMetadataRequest.java,10.0,0.0,1.0,3.0,2.0,1.0,2.2,13.2,0.0,6.0,3.0,1.0,2.0,11.0,1.4,13.2,0.08,0.0,3.083333333333333,9.0,1.0,3.395833333333333,19.0,0.0,0.0,0.0,0.0,0.625,4.0,0.0
PutFileMetadataResult.java,5.0,0.0,1.0,1.0,1.0,1.0,2.2,8.4,0.0,6.0,3.0,1.0,2.0,3.0,1.4,0.0,0.11,0.0,1.5925925925925926,5.0,0.0,1.9259259259259256,6.0,0.0,0.0,0.0,0.0,0.4444444444444444,2.0,0.0
PutWritable.java,7.0,0.0,0.0,2.0,2.0,1.0,2.0,15.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,20.0,0.34,3.0,6.0,12.0,1.0,6.333333333333333,10.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0
QB.java,4.0,0.0,0.0,1.0,1.0,1.0,1.2,11.45,0.05,1.0,1.0,4.0,0.0,4.0,1.3,53.7,0.25,0.0,4.400576368876081,56.0,0.0,2.7319884726224783,39.0,0.0,0.0,0.0,0.0,0.2420749279538905,7.0,0.0
QBExpr.java,4.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,69.0,0.33,1.0,5.357142857142857,23.0,1.0,2.142857142857143,14.0,0.0,0.0,0.0,0.0,0.2857142857142857,2.0,0.0
QBJoinTree.java,6.0,0.0,2.0,2.0,2.0,1.0,2.0,17.0,0.0,1.0,0.0,0.0,0.0,19.0,1.0,90.0,0.44,1.0,5.777777777777778,23.0,1.0,3.746031746031746,37.0,0.0,0.0,0.0,0.0,0.2857142857142857,7.0,1.0
QBMetaData.java,4.0,0.0,0.0,1.0,1.0,1.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,79.0,0.34,1.0,3.882352941176471,8.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QBParseInfo.java,5.0,0.0,1.0,1.0,1.0,1.0,1.0,22.0,0.0,2.0,0.0,2.0,0.0,10.0,1.0,96.0,0.33,1.0,4.285714285714286,17.0,1.0,1.7252747252747254,9.0,0.0,0.0,0.0,0.0,0.0879120879120879,2.0,0.0
QBSubQuery.java,13.0,1.0,1.0,2.0,2.0,1.0,1.1666666666666667,7.666666666666667,0.0833333333333333,11.0,1.0,22.0,6.0,21.0,1.4166666666666667,39.91666666666666,0.31,0.0,3.488095238095238,20.0,0.0,3.726190476190476,39.0,0.0,0.0,0.0,0.0,0.4642857142857143,4.0,1.0
QFileClient.java,8.0,0.0,0.0,1.0,1.0,1.0,1.0,10.5,0.0,2.0,0.0,1.0,5.0,5.0,1.0,43.5,0.13,0.0,2.958333333333333,9.0,1.0,3.5416666666666665,8.0,0.0,0.0,0.0,0.0,0.3333333333333333,2.0,1.0
QFileTestBatch.java,9.0,0.0,0.0,3.0,3.0,3.0,1.5,7.5,0.0,1.0,0.0,0.0,0.0,17.0,1.0,27.0,0.17,0.0,4.071428571428571,11.0,1.0,4.142857142857143,17.0,0.0,0.0,0.0,0.0,0.3571428571428571,3.0,0.0
QTestDruidStorageHandler.java,4.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,2.33,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QTestDruidStorageHandler2.java,4.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,2.33,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QTestUtil.java,18.0,2.0,2.0,3.0,3.0,1.0,1.3333333333333333,20.11111111111111,0.3333333333333333,11.0,20.0,2.0,35.0,24.0,1.5555555555555556,22.666666666666668,0.12,0.0,5.777777777777778,29.0,0.0,7.24074074074074,40.0,0.0,0.0,0.0,0.0,1.0462962962962965,5.0,1.0
