,index,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxNesting,RatioCommentToCode,SumCyclomatic,Bugs
4220,4234,VectorMapJoinOuterLongOperator.java,93.0,17.0,52.0,24.0,12.0,1.0,0.0,3.0,4.0,4.0,4.0,5.0,4.0,0.0,0.0,1.0,3.0,454.0,87.0,232.0,53.0,167.0,135.0,119.0,158.0,54.0,106.0,43.0,7.0,0.58,46.0,1.0
4221,4235,VectorMapJoinOuterMultiKeyOperator.java,96.0,18.0,55.0,24.0,12.0,1.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,1.0,3.0,470.0,90.0,244.0,54.0,176.0,137.0,131.0,171.0,56.0,121.0,44.0,7.0,0.56,47.0,1.0
4222,4236,VectorMapJoinOuterStringOperator.java,91.0,17.0,50.0,23.0,11.0,1.0,0.0,3.0,4.0,4.0,4.0,2.0,4.0,0.0,0.0,1.0,3.0,440.0,86.0,223.0,55.0,165.0,131.0,116.0,152.0,56.0,98.0,40.0,7.0,0.59,43.0,1.0
4292,4306,VectorizationContext.java,22.0,1.0,19.0,2.0,5.0,5.0,19.0,7.0,95.0,93.0,76.0,19.0,95.0,5.0,45.0,3.0,42.0,2518.0,254.0,2016.0,558.0,1429.0,249.0,1077.0,1465.0,531.0,1130.0,23.0,6.0,0.12,490.0,1.0
4308,4322,Vectorizer.java,23.0,3.0,19.0,1.0,4.0,9.0,0.0,1.0,84.0,84.0,84.0,26.0,84.0,7.0,48.0,2.0,27.0,2280.0,323.0,1820.0,562.0,1207.0,139.0,1031.0,1349.0,530.0,1001.0,38.0,6.0,0.08,345.0,1.0
4311,4325,VerifyFast.java,163.0,1.0,162.0,0.0,32.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,372.0,8.0,343.0,87.0,224.0,21.0,176.0,211.0,88.0,153.0,46.0,3.0,0.06,64.0,0.0
4343,4357,WindowingTableFunction.java,15.0,1.0,14.0,1.0,3.0,14.0,1.0,1.0,78.0,80.0,79.0,35.0,80.0,13.0,9.0,10.0,48.0,1588.0,196.0,1174.0,411.0,684.0,234.0,553.0,804.0,352.0,585.0,15.0,5.0,0.2,257.0,0.0
4405,4419,cbo_rp_TestJdbcDriver2.java,25.0,2.0,20.0,3.0,2.0,5.0,3.0,17.0,87.0,87.0,84.0,4.0,87.0,0.0,15.0,0.0,72.0,2425.0,312.0,1793.0,449.0,1391.0,383.0,1200.0,1381.0,365.0,1171.0,9.0,3.0,0.21,171.0,1.0
4408,96478,package-info.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,1.0,1.0,0.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0
4409,96479,serdeConstants.java,0.0,0.0,0.0,0.0,0.0,1.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,50.0,105.0,77.0,70.0,6.0,96.0,97.0,73.0,27.0,0.0,0.0,0.06,0.0,0.0
4410,96480,thrift_grammar.java,44.0,0.0,43.0,1.0,10.0,1.0,5.0,4.0,68.0,68.0,63.0,15.0,68.0,0.0,6.0,1.0,61.0,3121.0,90.0,2945.0,224.0,1963.0,88.0,1212.0,1716.0,223.0,1550.0,32.0,4.0,0.03,675.0,0.0
4412,96482,thrift_grammarTokenManager.java,42.0,0.0,41.0,0.0,14.0,1.0,0.0,6.0,36.0,36.0,36.0,11.0,36.0,0.0,28.0,1.0,7.0,1604.0,48.0,1544.0,117.0,1240.0,12.0,684.0,944.0,76.0,870.0,145.0,6.0,0.01,502.0,0.0
