Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,Bugs
NumericUDAF.java,6.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,8.0,8.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,4.0,33.0,3.0,6.0,3.0,1.0,24.0,4.0,3.0,2.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0
NumericUDAFEvaluatorResolver.java,12.0,1.0,9.0,3.0,2.0,2.0,3.0,1.0,7.0,7.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,4.0,65.0,7.0,24.0,11.0,9.0,34.0,4.0,3.0,10.0,16.0,10.0,7.0,3.0,3.0,3.0,4.0,2.0,2.0,0.0,0.0,1.42,4.0,4.0,5.0,0.0
ORCFileStorageFormatDescriptor.java,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,8.0,8.0,0.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,5.0,0.0,0.0,0.0,4.0,3.0,46.0,5.0,24.0,15.0,4.0,17.0,8.0,4.0,10.0,15.0,11.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.71,4.0,4.0,4.0,0.0
ObjectCache.java,7.0,0.0,5.0,2.0,1.0,1.0,1.0,14.0,73.0,73.0,1.0,1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,43.0,5.0,0.0,0.0,0.0,112.0,81.0,7.0,36.0,15.0,15.0,38.0,79.0,63.0,21.0,29.0,15.0,15.0,1.0,2.0,2.0,2.0,2.0,1.0,21.0,4.0,1.06,7.0,7.0,7.0,0.0
ObjectCache.java,8.0,1.0,8.0,0.0,1.0,1.0,1.0,14.0,73.0,73.0,1.0,2.0,0.0,2.0,9.0,9.0,9.0,0.0,9.0,43.0,0.0,0.0,0.0,9.0,112.0,99.0,15.0,60.0,21.0,29.0,24.0,79.0,63.0,22.0,35.0,22.0,16.0,1.0,3.0,3.0,3.0,2.0,2.0,21.0,4.0,0.4,12.0,12.0,12.0,0.0
ObjectCache.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,73.0,73.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,43.0,0.0,0.0,0.0,4.0,112.0,63.0,7.0,10.0,9.0,0.0,46.0,79.0,63.0,8.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,21.0,4.0,4.6,0.0,0.0,0.0,0.0
ObjectCache.java,7.0,0.0,7.0,0.0,1.0,1.0,1.0,14.0,73.0,73.0,1.0,2.0,1.0,3.0,7.0,7.0,6.0,1.0,7.0,43.0,0.0,0.0,0.0,7.0,112.0,102.0,15.0,61.0,27.0,25.0,26.0,79.0,63.0,31.0,41.0,23.0,19.0,1.0,3.0,3.0,3.0,2.0,2.0,21.0,4.0,0.43,9.0,9.0,9.0,0.0
ObjectCacheFactory.java,11.0,0.0,9.0,3.0,3.0,3.0,3.0,1.0,14.0,14.0,0.0,1.0,3.0,2.0,4.0,4.0,1.0,0.0,4.0,4.0,0.0,2.0,0.0,2.0,16.0,87.0,8.0,51.0,19.0,26.0,32.0,15.0,12.0,24.0,36.0,18.0,22.0,4.0,5.0,5.0,6.0,1.0,3.0,0.0,0.0,0.63,12.0,12.0,13.0,0.0
ObjectCacheWrapper.java,4.0,0.0,4.0,0.0,1.0,1.0,1.0,2.0,5.0,5.0,0.0,1.0,0.0,0.0,6.0,6.0,6.0,2.0,6.0,6.0,0.0,1.0,0.0,5.0,16.0,57.0,8.0,32.0,18.0,7.0,17.0,11.0,5.0,13.0,20.0,13.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,42.0,8.0,0.53,6.0,6.0,6.0,0.0
ObjectContainer.java,20.0,1.0,18.0,0.0,4.0,4.0,5.0,1.0,18.0,18.0,0.0,1.0,0.0,2.0,7.0,7.0,7.0,9.0,7.0,7.0,0.0,1.0,0.0,6.0,36.0,206.0,23.0,158.0,41.0,95.0,30.0,42.0,94.0,83.0,116.0,41.0,78.0,3.5,10.0,10.0,12.0,1.0,5.0,57.0,49.0,0.19,29.0,29.0,35.0,1.0
ObjectInspector.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,1525.0,1525.0,117.0,2.0,0.0,0.0,2.0,2.0,4.0,5.0,4.0,2835.0,2.0,0.0,0.0,2.0,6282.0,64.0,5.0,8.0,7.0,0.0,51.0,3612.0,2674.0,4.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.38,0.0,0.0,0.0,0.0
ObjectInspectorConverters.java,27.0,1.0,21.0,4.0,5.0,3.0,5.0,12.0,126.0,126.0,0.0,7.0,5.0,0.0,15.0,16.0,11.0,27.0,16.0,17.0,1.0,2.0,0.0,13.0,245.0,564.0,62.0,389.0,128.0,246.0,113.0,93.0,59.0,183.0,238.0,112.0,148.0,3.0,19.0,5.0,19.0,2.0,2.0,0.0,0.0,0.29,68.0,45.0,71.0,0.0
ObjectInspectorFactory.java,16.0,1.0,14.0,1.0,3.0,3.0,3.0,7.0,193.0,193.0,0.0,2.0,15.0,7.0,18.0,16.0,3.0,4.0,18.0,56.0,1.0,3.0,0.0,14.0,793.0,396.0,41.0,291.0,108.0,165.0,64.0,283.0,248.0,109.0,163.0,64.0,125.0,3.0,16.0,14.0,17.0,2.0,3.0,83.0,79.0,0.22,53.0,51.0,55.0,1.0
ObjectNotFoundException.java,7.0,0.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,12.0,0.0,0.0,0.0,1.0,9.0,39.0,5.0,8.0,5.0,2.0,26.0,31.0,17.0,4.0,6.0,5.0,1.0,6.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,3.25,1.0,1.0,1.0,0.0
ObjectPair.java,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,11.0,11.0,10.0,2.0,11.0,11.0,0.0,0.0,0.0,11.0,93.0,86.0,16.0,49.0,17.0,18.0,21.0,15.0,12.0,17.0,32.0,15.0,17.0,1.0,3.0,3.0,3.0,1.0,1.0,55.0,27.0,0.43,14.0,14.0,15.0,0.0
OfficePhone.java,6.0,0.0,4.0,1.0,1.0,1.0,1.0,4.0,13.0,13.0,0.0,2.0,4.0,1.0,25.0,25.0,21.0,4.0,25.0,25.0,0.0,3.0,0.0,22.0,31.0,194.0,24.0,124.0,39.0,58.0,46.0,52.0,31.0,57.0,91.0,34.0,59.0,1.0,4.0,4.0,4.0,2.0,1.0,60.0,60.0,0.37,36.0,34.0,36.0,0.0
OneNullRowInputFormat.java,5.0,0.0,5.0,0.0,2.0,2.0,2.0,2.0,10.0,10.0,0.0,2.0,0.0,0.0,4.0,4.0,4.0,1.0,4.0,14.0,0.0,0.0,0.0,4.0,10.0,64.0,9.0,33.0,19.0,7.0,22.0,7.0,7.0,14.0,21.0,14.0,7.0,1.5,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.67,7.0,7.0,7.0,0.0
OpParseContext.java,6.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,0.0,0.0,0.0,4.0,8.0,56.0,6.0,17.0,9.0,4.0,34.0,2.0,2.0,7.0,12.0,9.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,25.0,25.0,2.0,4.0,4.0,4.0,0.0
OpProcFactory.java,26.0,3.0,20.0,4.0,4.0,4.0,5.0,64.0,622.0,622.0,23.0,11.0,11.0,0.0,22.0,22.0,11.0,0.0,22.0,182.0,0.0,1.0,1.0,20.0,342.0,738.0,92.0,517.0,225.0,321.0,131.0,785.0,2742.0,292.0,402.0,222.0,265.0,2.0,19.0,19.0,26.0,3.0,6.0,0.0,0.0,0.25,83.0,83.0,105.0,1.0
OpProcFactory.java,7.0,1.0,5.0,1.0,1.0,1.0,1.0,64.0,622.0,622.0,23.0,2.0,1.0,0.0,3.0,3.0,2.0,0.0,3.0,182.0,0.0,1.0,1.0,1.0,342.0,77.0,10.0,27.0,20.0,6.0,40.0,785.0,2742.0,15.0,20.0,18.0,5.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.48,3.0,3.0,3.0,1.0
OpProcFactory.java,20.0,1.0,16.0,3.0,4.0,4.0,4.0,64.0,622.0,622.0,23.0,12.0,17.0,1.0,43.0,43.0,26.0,0.0,43.0,182.0,1.0,12.0,8.0,22.0,342.0,1060.0,100.0,768.0,270.0,454.0,195.0,785.0,2742.0,358.0,547.0,253.0,380.0,2.0,13.0,13.0,14.0,3.0,4.0,0.0,0.0,0.25,157.0,157.0,188.0,1.0
OpTraits.java,3.0,0.0,3.0,0.0,1.0,1.0,1.0,19.0,134.0,134.0,0.0,1.0,0.0,0.0,7.0,7.0,7.0,3.0,7.0,34.0,0.0,0.0,0.0,7.0,101.0,58.0,11.0,30.0,13.0,9.0,17.0,149.0,83.0,14.0,22.0,13.0,9.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.57,7.0,7.0,7.0,0.0
OpWalkerCtx.java,5.0,0.0,3.0,2.0,1.0,1.0,1.0,7.0,7.0,7.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,11.0,0.0,0.0,0.0,2.0,14.0,49.0,7.0,14.0,9.0,2.0,28.0,7.0,7.0,8.0,11.0,9.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,33.0,33.0,2.0,2.0,2.0,2.0,0.0
OpWalkerInfo.java,4.0,0.0,4.0,0.0,1.0,1.0,1.0,2.0,8.0,8.0,0.0,1.0,0.0,0.0,6.0,6.0,6.0,3.0,6.0,6.0,0.0,0.0,0.0,6.0,36.0,70.0,10.0,36.0,21.0,8.0,24.0,7.0,5.0,20.0,27.0,19.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,56.0,56.0,0.67,6.0,6.0,6.0,0.0
