Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
PigHCatUtil.java,17.0,1.0,14.0,2.0,4.0,3.0,4.0,2.0,2.0,64.0,64.0,0.0,1.0,22.0,5.0,24.0,0.0,24.0,2.0,1.0,24.0,26.0,1.0,9.0,1.0,13.0,172.0,562.0,65.0,407.0,122.0,252.0,96.0,173.0,2.0,199.0,280.0,120.0,186.0,2.0,13.0,13.0,19.0,1.0,3.0,46.0,38.5,0.24,84.0,73.0,92.0,36.0,0.0
PlanModifierForASTConv.java,20.0,2.0,16.0,2.0,4.0,4.0,6.0,2.0,1.0,38.0,38.0,0.0,1.0,16.0,1.0,16.0,0.0,16.0,0.0,0.0,16.0,16.0,0.0,14.0,0.0,2.0,50.0,394.0,56.0,292.0,98.0,175.0,46.0,98.0,2.5,143.0,219.0,97.0,145.0,2.5,22.0,22.0,23.0,1.0,3.0,0.0,0.0,0.16,70.0,70.0,89.0,25.0,1.0
PrimitiveObjectInspectorUtils.java,21.0,1.0,18.0,2.0,5.0,2.0,5.0,2.0,5.0,88.0,88.0,0.0,3.0,39.0,24.0,48.0,0.0,46.0,9.0,13.0,48.0,49.0,4.0,1.0,1.0,42.0,490.0,1267.0,89.0,1020.0,211.0,775.0,164.0,334.0,1.5,496.0,594.0,171.0,475.0,2.0,20.0,6.0,20.0,2.0,2.0,0.0,0.0,0.16,256.0,106.0,259.0,73.0,0.0
RecordReaderImpl.java,23.0,1.0,19.0,4.0,6.0,5.0,6.0,3.0,9.0,169.0,169.0,0.0,4.0,16.0,6.0,47.0,0.0,45.0,31.0,36.0,47.0,116.0,13.0,15.0,2.0,17.0,725.0,1234.0,79.0,971.0,277.0,623.0,187.0,783.0,1.0,473.0,695.0,238.0,517.0,1.0,44.0,38.0,53.0,2.0,4.0,52.0,26.0,0.19,259.0,245.0,304.0,149.0,1.0
ReduceSinkDeDuplication.java,22.0,1.0,18.0,3.0,4.0,4.0,5.0,3.0,10.0,93.0,93.0,3.0,8.0,4.0,3.0,22.0,0.0,24.0,20.0,1.0,24.0,69.0,0.0,3.0,7.0,14.0,79.0,625.0,54.0,462.0,176.0,261.0,110.0,170.0,3.0,218.0,318.0,145.0,233.0,3.0,13.0,13.0,15.0,2.0,4.0,0.0,0.0,0.24,89.0,89.0,112.0,67.0,1.0
RexNodeConverter.java,24.0,2.0,20.0,3.0,5.0,3.0,6.0,1.0,2.0,86.0,86.0,0.0,2.0,2.0,3.0,14.0,0.0,14.0,12.0,7.0,14.0,14.0,0.0,8.0,2.0,4.0,81.0,461.0,45.0,364.0,151.0,221.0,52.0,130.0,3.0,217.0,268.0,142.0,156.0,3.0,26.0,9.0,27.0,1.0,4.0,32.0,19.0,0.14,64.0,47.0,87.0,18.0,1.0
ScriptOperator.java,19.0,1.0,16.0,2.0,4.0,4.0,4.0,1.0,12.0,102.0,102.0,0.0,9.0,2.0,5.0,36.0,0.0,36.0,36.0,33.0,38.0,145.0,11.0,3.0,3.0,21.0,190.0,877.0,102.0,663.0,208.0,410.0,117.0,263.0,2.0,327.0,462.0,192.0,314.0,2.0,20.0,20.0,22.0,2.0,5.0,21.0,18.0,0.18,128.0,128.0,150.0,47.0,1.0
SetProcessor.java,19.0,1.0,18.0,0.0,4.0,4.0,4.0,2.0,11.0,48.0,48.0,0.0,5.0,3.0,2.0,17.0,0.0,17.0,14.0,0.0,17.0,18.0,0.0,8.0,0.0,9.0,78.0,374.0,36.0,312.0,81.0,217.0,29.0,158.0,1.5,159.0,232.0,85.0,181.0,1.5,13.0,13.0,13.0,1.0,3.0,0.0,0.0,0.09,69.0,69.0,71.0,40.0,1.0
ShowCompactResponseElement.java,14.0,1.0,13.0,1.0,4.0,3.0,5.0,2.0,11.0,52.0,52.0,0.0,6.0,3.0,20.0,93.0,0.0,91.0,90.0,27.0,93.0,85.0,1.0,2.0,0.0,90.0,456.0,1542.0,168.0,1325.0,233.0,892.0,85.0,321.0,1.0,623.0,935.0,206.0,786.0,1.0,38.0,38.0,86.0,2.0,3.0,0.0,0.0,0.06,360.0,305.0,420.0,169.0,0.0
ShowLocksResponseElement.java,14.0,1.0,13.0,1.0,4.0,3.0,5.0,2.0,11.0,56.0,56.0,0.0,6.0,3.0,29.0,113.0,0.0,111.0,110.0,35.0,113.0,105.0,1.0,2.0,0.0,110.0,580.0,1929.0,207.0,1657.0,285.0,1145.0,113.0,420.0,1.0,809.0,1185.0,251.0,1001.0,1.0,50.0,50.0,110.0,2.0,3.0,0.0,0.0,0.07,444.0,369.0,518.0,213.0,0.0
